"Country","Year","Age","mxm","mxf","dxm","dxf"
"Malawi",2000,0,0.11027,0.101,0.102358863300061,0.0944564447772553
"Malawi",2000,1,0.01994,0.01814,0.0177222732019731,0.0162789103746426
"Malawi",2000,2,0.0113520868695874,0.0107055903759203,0.00993253786030469,0.00946941518350493
"Malawi",2000,3,0.00721004136636381,0.00694464513911373,0.0062501056359288,0.00608872365254716
"Malawi",2000,4,0.00505463684260345,0.00491270569946696,0.00435486678486409,0.00428174545409875
"Malawi",2000,5,0.00387,0.00376,0.00331938283117096,0.00326290284235427
"Malawi",2000,6,0.00319955178924434,0.00308775198410591,0.00273463979822192,0.00267037027416202
"Malawi",2000,7,0.00281677220906639,0.00269388542908025,0.00240024823377573,0.00232301816376189
"Malawi",2000,8,0.00260216997050306,0.00247126071157648,0.002211379707854,0.00212554541573608
"Malawi",2000,9,0.00248586701320215,0.00235928998674884,0.00210717529002175,0.00202434336194312
"Malawi",2000,10,0.00242,0.00232,0.00204631659312341,0.00198597937068999
"Malawi",2000,11,0.00237358177696692,0.00233029155945272,0.00200226120762367,0.00199015643110183
"Malawi",2000,12,0.00234950934591944,0.0023895955394706,0.00197727965745972,0.00203599381995465
"Malawi",2000,13,0.00235877357473445,0.00250528864342105,0.0019804085214904,0.00212934947932911
"Malawi",2000,14,0.00241370051873347,0.00268929069360599,0.00202169483036423,0.00227981175054538
"Malawi",2000,15,0.00253,0.00296,0.00211387478176185,0.00250222468482564
"Malawi",2000,16,0.00272569666345856,0.00334273619333379,0.00227140749359511,0.00281687908243753
"Malawi",2000,17,0.00300985694103875,0.00386341772224933,0.00250102488909991,0.00324394269981663
"Malawi",2000,18,0.0033919144028898,0.00455468364015544,0.00280948713844562,0.00380830803814887
"Malawi",2000,19,0.00388413200343189,0.00545908134804076,0.00320550430608777,0.00454171045916389
"Malawi",2000,20,0.0045,0.00663,0.00369823567544572,0.00548263148627778
"Malawi",2000,21,0.00525178063775201,0.00812260393922376,0.00429508209406436,0.00666758403544645
"Malawi",2000,22,0.00614651827809743,0.00994739632947114,0.00499826763021638,0.00809208720268956
"Malawi",2000,23,0.00718158069502417,0.0120530769391765,0.00580118816015235,0.00969782146901931
"Malawi",2000,24,0.00833909480736821,0.0143021973532156,0.00668415488513203,0.0113568837608531
"Malawi",2000,25,0.00958,0.01645,0.00761032495579282,0.0128631701407954
"Malawi",2000,26,0.0108525205585614,0.0182092686256018,0.00853361049949379,0.0139943125913477
"Malawi",2000,27,0.0121425305703299,0.019504756364622,0.00943886224213418,0.0147099944966466
"Malawi",2000,28,0.0134563505190871,0.0203906534987584,0.0103271564537277,0.015074453554638
"Malawi",2000,29,0.0148119041171824,0.0209838661849923,0.0112079958410517,0.015195415875121
"Malawi",2000,30,0.01624,0.02144,0.0120993636526136,0.0151998864317767
"Malawi",2000,31,0.0177670335882955,0.0218911307345786,0.0130139620252603,0.0151871126483115
"Malawi",2000,32,0.019346601454966,0.0222960156474241,0.0139105122711239,0.0151300284329545
"Malawi",2000,33,0.0208928951172221,0.0225637646150773,0.0147232012706881,0.0149721134862206
"Malawi",2000,34,0.0222966724549266,0.0226011572266603,0.0153768759070372,0.0146620421282883
"Malawi",2000,35,0.02343,0.02232,0.0157933152266751,0.014158015242475
"Malawi",2000,36,0.0241914382708254,0.0216866618000394,0.0159229422710159,0.0134568393524447
"Malawi",2000,37,0.0246301359803076,0.0208372750086144,0.015820769628413,0.0126577064552969
"Malawi",2000,38,0.024852452307705,0.0199358410020473,0.0155734591403139,0.011865678725758
"Malawi",2000,39,0.0249775943747336,0.0191235863269789,0.0152667209994526,0.0111620438756632
"Malawi",2000,40,0.02513,0.01852,0.0149798259888482,0.0106081509511593
"Malawi",2000,41,0.0253928594995265,0.0181897335808431,0.0147589386534556,0.0102294609154407
"Malawi",2000,42,0.0256723232724763,0.0180312894191398,0.0145452168212544,0.00995834966961459
"Malawi",2000,43,0.0258253073738187,0.0179112059699321,0.0142599422695759,0.00971583559587001
"Malawi",2000,44,0.0257066159772634,0.0177012109180113,0.0138333132568178,0.00943245100002118
"Malawi",2000,45,0.02518,0.01728,0.0132094607277836,0.00904832626225632
"Malawi",2000,46,0.0241979570581071,0.0165880421038546,0.0123846175208521,0.00854011743233988
"Malawi",2000,47,0.0229799101471515,0.0157567703968596,0.0114869328805308,0.00798198156266981
"Malawi",2000,48,0.0217774748871336,0.0149429222939729,0.0106448858252445,0.00745437455230675
"Malawi",2000,49,0.0207969290388748,0.0142749859755142,0.00995142250722908,0.00701787457313588
"Malawi",2000,50,0.02021,0.01386,0.0094742776665249,0.00671866477666887
"Malawi",2000,51,0.0201289386784004,0.0137691182090918,0.00924784853701804,0.00658303330663141
"Malawi",2000,52,0.0204810130330504,0.0139650330504027,0.00922047722655116,0.00658475613941614
"Malawi",2000,53,0.0211648717573533,0.0143959634422265,0.00933201734114993,0.0066923787451348
"Malawi",2000,54,0.0220836652546375,0.0150166278031597,0.00952887306545201,0.00687901419326244
"Malawi",2000,55,0.02313,0.01578,0.00975731096372062,0.00711827117885971
"Malawi",2000,56,0.0242050614195743,0.0166446896965895,0.00997204676894991,0.00738760503927753
"Malawi",2000,57,0.0253114938217837,0.0176179222786088,0.0101729271810014,0.00768677646576655
"Malawi",2000,58,0.0264840749688908,0.0187232550814051,0.010372140011126,0.00802197848403974
"Malawi",2000,59,0.0277639782859092,0.019989093123528,0.0105825051728001,0.00840019460904412
"Malawi",2000,60,0.0292,0.02145,0.0108174196454323,0.00882933778045206
